SMILES,LC50
c1cc(ccc1N)S(=O)(=O)Nc2cncc(n2)Cl,3.43
c1cc(ccc1N)S(=O)(=O)Nc2ccc(nn2)Cl,4.44
c1cc(ccc1N)S(=O)(=O)NC(=N)N,3.23
Cc1ccnc(n1)NS(=O)(=O)c2ccc(cc2)N,3.11
Cc1nnc(s1)NS(=O)(=O)c2ccc(cc2)N,3.71
Cc1c(oc(n1)NS(=O)(=O)c2ccc(cc2)N)C,3.72
c1cc(ccc1N)S(=O)(=O)N,2.82
CCN(CC)CCSCC(=O)O[C@@H]1C[C@@]([C@H]([C@@H]([C@@]23CC[C@H]([C@@]1([C@@H]2C(=O)CC3)C)C)C)O)(C)C=C,6.3
CCCS(=O)c1ccc2c(c1)nc([nH]2)NC(=O)OC,3.95
c1cc(c(c(c1)Cl)Cn2cnc3c2ncnc3N)F,4.53
Cc1c(c(c(c(n1)C)Cl)O)Cl,3.89
CCOc1cc(ccc1C(=O)OC)NC(=O)C,4.25
CCN(CCCC(=O)N1CCC(CC1)C(=O)N(C)C)[C@@H](C)CC2=CC=C(C=C2)OC,3.94
C1=CC(=CC=C1/C=N/NC(=N)N/N=C/C2=CC=C(C=C2)Cl)Cl,6.43
CC(C)(C)NCC(c1cc(c(c(c1)Cl)N)C(F)(F)F)O,4.73
CC(CCc1ccc(cc1)O)NCC(c2ccc(cc2)O)O,3.84
Cc1cnc(s1)/N=C(/C2=C(c3ccccc3S(=O)(=O)N2C)O)\O,4.77
Cc1c(cccc1Nc2c(cc(cn2)O)C(=O)O)C(F)(F)F,5.59
c1cc(cc(c1)NC(=O)Nc2cccc(c2)C3=NCCN3)C4=NCCN4,3.84
CN(Cc1cc(cc(c1N)Br)Br)C2CCCCC2,5.4
COC(=O)N=NC=C1C=[N+](C2=CC=CC=C2N1O)[O-],3.42
c1ccc2c(c1)nc(n2C3=CCN(CC3)CCCC(=O)c4ccc(cc4)F)O,4.21
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,3.87
CCCc1cc(nc(n1)S)O,3.24
CN[C@H]1CC[C@@H](C2=CC=C(Cl)C(Cl)=C2)C2=C1C=CC=C2,5.56
CN(C)CC(c1ccc(cc1)OC)C2(CCCCC2)O,3.76
CN(C)CCC=C1c2ccccc2CCc3c1cccc3,5.99
c1ccc(c(c1)C2=NC(C(=O)Nc3c2cc(cc3)Cl)O)Cl,6.52
CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,3.93
Cc1cc2c(s1)Nc3ccccc3N=C2N4CCN(CC4)C,5.38
c1cc(ccc1[C@@H]2CCNC[C@H]2COc3ccc4c(c3)OCO4)F,4.88
CN(C)CCCN1c2ccccc2CCc3c1cc(cc3)Cl,5.49
CN(C)CC/C=C\1/c2ccccc2COc3c1cccc3,4.95
c1ccc(cc1)C2=NCC(=Nc3c2cc(cc3)[N+](=O)[O-])O,4.99
C/N=C\1/C[N+](=C(c2cc(ccc2N1)Cl)c3ccccc3)[O-],5.72
CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,5.12
c1ccc(c(c1)C2(CCCCC2=O)N)Cl,3.59
