SMILES,LogS
S(=O)(=O)(N)c1scc(S(=O)(=O)c2ccc(OC)cc2)c1,-4.2220001
Clc1c(-n2c(N)c([SH0](=O)C(F)(F)F)c(C#N)n2)c(Cl)cc(C(F)(F)F)c1,-5.362
Clc1ncc(CN(/C(/NC)=C\[N+](=O)[O-])CC)cc1,0.49200001
O(CCc1ccc(C(C)(C)C)cc1)c1ncnc2c1cccc2,-6.1440001
N(N)C(=N)c1ncnc2[nH]cnc12,-2.753
O=C1N(CO)C=2C(=O)NC(=O)NC=2N1,-1.899
ClC(Cl)C(=O)N1C(C)(C)OC(c2occc2)C1,-3.1500001
Fc1c(Oc2ccc(OC(C(=O)OCCCC)C)cc2)ccc(C#N)c1,-5.7080002
Clc1c(S(=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2)n2c(n1)C=CC=C2,-4.7859998
Clc1c(NS(=O)(=O)C)cc(N2C(=O)N(C(F)F)C(C)=N2)c(Cl)c1,-2.6960001
O=C1N(/N=C/c2cnccc2)CC(C)=NN1,-2.875
ClC(Cl)(Cl)C1OC2C(O)C(C=O)OC2O1,-2.0450001
Clc1ccc(CC2C(O)(Cn3ncnc3)C(C)(C)CC2)cc1,-4.329
Clc1ccc(CC2C(O)(Cn3ncnc3)C(C(C)C)CC2)cc1,-4.683000099999999
O=C(Nc1ccc(O)cc1)/C=C/C,-2.6459999
O=C(NC(=O)C(C#N)(CC)CC)N,-1.564
Clc1ccc(C(NC(=O)C2(CC)C(Cl)(Cl)C2C)C)cc1,-5.2690001
S(=O)(=O)(N)c1scc(S(=O)(=O)c2ccc(C)cc2)c1,-4.0240002
S(=O)(=O)(N)c1occ(S(=O)(=O)c2ccc(OC)cc2)c1,-3.0239999
S(=O)(=O)(N)c1scc(S(=O)(=O)c2ccc(O)cc2)c1,-2.8050001
S(=O)(=O)(N)c1scc(S(=O)(=O)c2cc(O)ccc2)c1,-2.7190001
S(=O)(=O)(N)c1occ(S(=O)(=O)c2ccc(O)cc2)c1,-2.4030001
ClCCN(N=O)C(=O)NCC(OC)N1C(=O)C(F)=CNC1=O,-1.926
ClCCN(N=O)C(=O)NCCC(SCC(=O)O)N1C(=O)NC(=O)C(F)=C1,-1.5190001
Clc1ccc(C2(O)C(n3ncnc3)CCCCC2)cc1,-3.3680000000000003
Clc1c(OC(F)F)n(C)nc1-c1c(F)cc(Cl)c(OCC(=O)O)c1,-5.586
FC1(F)Oc2c(-c3c(C#N)c[nH]c3)cccc2O1,-5.1399999
O(c1ccc(C2(C)C(=O)N(Nc3ccccc3)C(=O)O2)cc1)c1ccccc1,-6.856999900000001
O=C(OC)/C(=C/OC)/c1c(Oc2ncnc(Oc3c(C#N)cccc3)c2)cccc1,-4.8280001
Clc1cc(C2(CC3(CC)C(=O)c4c(C3=O)cccc4)OC2)ccc1,-4.3860002
O=C(NC)/C(=N/OC)/c1c(Oc2ccccc2)cccc1,-3.3469999
O=C(NCCCCCCCCCCCCCCCCCC)c1cnccc1,-3.1930001
S(C(=O)c1c2snnc2ccc1)C,-4.4359999000000006
Clc1ncc(CN(/C(=N/C#N)/C)C)cc1,-1.724
S(=O)(=O)(N)c1sc(SCCCCO)cc1,-1.459
S(=O)(=O)(N)c1sc(S(=O)(=O)CCCCO)cc1,-1.4809999
S(=O)(=O)(N)c1ccc(SCCCCO)cc1,-2.5139999
S(=O)(=O)(N)c1ccc(S(=O)(=O)CCCCO)cc1,-2.145
S(=O)(=O)(N)c1ccc(CCCO)cc1,-1.0319999
S(=O)(=O)(N)c1ccc(CCCOC(=O)C)cc1,-2.2060001
S(=O)(=O)(N)c1ccc(CCCCO)cc1,-1.193
