SELFIES,true_LC50[-LOG(mol_L)],guessed_LC50[-LOG(mol_L)]
[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][N][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][Cl],3.43,3.43
[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch1][N][=N][Ring1][=Branch1][Cl],4.44,4.44
[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=Branch1][C][=N][N],3.23,3.23
[C][C][=C][C][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N],3.11,3.11
[C][C][=N][N][=C][Branch1][Ring2][S][Ring1][Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N],3.71,3.71
[C][C][=C][Branch2][Ring1][O][O][C][=Branch1][Ring2][=N][Ring1][Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C],3.72,3.72
[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][N],2.82,2.82
[C][C][N][Branch1][Ring1][C][C][C][C][S][C][C][=Branch1][C][=O][O][C@@H1][C][C@@][Branch2][Ring2][Ring2][C@H1][Branch2][Ring1][#C][C@@H1][Branch2][Ring1][#Branch2][C@@][C][C][C@H1][Branch2][Ring1][C][C@@][Ring1][#Branch2][Branch1][N][C@@H1][Ring1][=Branch1][C][=Branch1][C][=O][C][C][Ring1][#Branch2][C][C][C][O][Branch1][C][C][C][=C],6.3,6.3
[C][C][C][S][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][=C][Branch1][Ring2][NH1][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C],3.95,3.95
[C][=C][C][=Branch2][Ring1][#Branch2][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][C][N][C][=N][C][=C][Ring1][Branch1][N][=C][N][=C][Ring1][=Branch1][N][F],4.53,4.53
[C][C][=C][Branch1][S][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][Cl][O][Cl],3.89,3.89
[C][C][O][C][=C][C][=Branch1][N][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][N][C][=Branch1][C][=O][C],4.25,4.25
[C][C][N][Branch2][Ring1][O][C][C][C][C][=Branch1][C][=O][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][C][C][C][C@@H1][Branch1][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C],3.94,3.94
[C][=C][C][=Branch2][Ring1][O][=C][C][=C][Ring1][=Branch1][/C][=N][/N][C][=Branch1][C][=N][N][/N][=C][/C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][Cl],6.43,6.43
[C][C][Branch1][C][C][Branch1][C][C][N][C][C][Branch2][Ring1][=Branch2][C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][N][C][Branch1][C][F][Branch1][C][F][F][O],4.73,4.73
[C][C][Branch1][=C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][N][C][C][Branch1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][O],3.84,3.84
[C][C][=C][N][=C][Branch1][Ring2][S][Ring1][Branch1][/N][=C][Branch2][Ring1][#Branch2][/C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][Ring1][N][C][O][\O],4.77,4.77
[C][C][=C][Branch2][Ring1][#Branch2][C][=C][C][=C][Ring1][=Branch1][N][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=N][Ring1][=Branch1][O][C][=Branch1][C][=O][O][C][Branch1][C][F][Branch1][C][F][F],5.59,5.59
[C][=C][C][=Branch2][Ring1][#C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=N][C][C][N][Ring1][Branch1][C][=N][C][C][N][Ring1][Branch1],3.84,3.84
[C][N][Branch1][P][C][C][=C][C][=Branch1][#Branch2][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][N][Br][Br][C][C][C][C][C][C][Ring1][=Branch1],5.4,5.4
[C][O][C][=Branch1][C][=O][N][=N][C][=C][C][=N+1][Branch1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][#Branch2][O][O-1],3.42,3.42
[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][=C][Branch2][Ring1][S][N][Ring1][=Branch1][C][=C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F][O],4.21,4.21
[C][C][N][Branch1][Ring1][C][C][C][C][=Branch1][C][=O][N][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][C],3.87,3.87
[C][C][C][C][=C][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][S][O],3.24,3.24
[C][N][C@H1][C][C][C@@H1][Branch1][#C][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][C][=C][Ring1][=C][C][=C][C][=C][Ring1][=Branch1],5.56,5.56
[C][N][Branch1][C][C][C][C][Branch1][=N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][O],3.76,3.76
[C][N][Branch1][C][C][C][C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][Ring1][O][C][=C][C][=C][Ring1][=Branch1],5.99,5.99
[C][=C][C][=C][Branch2][Ring1][S][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=N][C][Branch2][Ring1][Ring1][C][=Branch1][C][=O][N][C][=C][Ring1][Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][O][Cl],6.52,6.52
[C][N][Branch1][C][C][C][C][C][C][Branch1][P][O][C][C][=C][Ring1][Branch1][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][#N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],3.93,3.93
[C][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][N][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C],5.38,5.38
[C][=C][C][=Branch2][Ring1][#C][=C][C][=C][Ring1][=Branch1][C@@H1][C][C][N][C][C@H1][Ring1][=Branch1][C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1][F],4.88,4.88
[C][N][Branch1][C][C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][Ring1][O][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],5.49,5.49
[C][N][Branch1][C][C][C][C][/C][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1][C][O][C][=C][\-Ring1][O][C][=C][C][=C][Ring1][=Branch1],4.95,4.95
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=N][C][C][=Branch2][Ring1][Ring1][=N][C][=C][Ring1][#Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][O],4.99,4.99
[C][/N][=C][/C][N+1][=Branch2][Ring1][#Branch2][=C][Branch1][#C][C][=C][C][=Branch1][=Branch2][=C][C][=C][Ring1][=Branch1][N][\-Ring1][O][Cl][C][=C][C][=C][C][=C][Ring1][=Branch1][O-1],5.72,5.72
[C][C][C][=Branch1][C][=O][N][Branch2][Ring1][Branch1][C][C][C][N][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1],5.12,5.12
[C][=C][C][=C][Branch2][Ring1][Ring1][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][=Branch2][C][C][C][C][C][Ring1][=Branch1][=O][N][Cl],3.59,3.59
