SELFIES,true_LogS,guessed_LogS
[O][=C][Branch2][Branch1][#Branch1][O][C][C][=Branch1][C][=O][C@][Branch1][C][O][C@][Branch1][C][C][C][Branch2][Ring1][S][C][C][Branch1][Branch2][C@@H1][Branch1][C][O][C][Ring1][Branch2][C@][Branch1][C][C][C][=Branch1][#Branch2][=C][C][=Branch1][C][=O][C][C][Ring1][Branch2][C][C][Ring1][#C][C][C][Ring2][Ring1][=Branch1][C],-4.4580002,-4.458
[O][=C][Branch2][Branch1][#Branch1][O][C][C][=Branch1][C][=O][C@][Branch1][C][O][C@][Branch1][C][C][C][Branch2][Ring1][S][C][C][Branch1][Branch2][C][=Branch1][C][=O][C][Ring1][Branch2][C@][Branch1][C][C][C][=Branch1][#Branch2][=C][C][=Branch1][C][=O][C][C][Ring1][Branch2][C][C][Ring1][#C][C][C][Ring2][Ring1][=Branch1][C],-4.3039999,-4.304
[O][=C][C][Branch1][Ring1][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Ring1][S],-2.3210001,-2.321
[O][=C][N][Branch1][C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][Ring1][=Branch2][Branch1][Ring1][C][C][C][C],-2.0,-2.0
[O][=C][Branch2][Ring1][Ring1][O][C][C][Branch1][C][O][Branch1][Ring1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N],-0.92299998,-0.923
[O][=C][Branch1][Ring1][C][O][C@@H1][C@][Branch1][C][C][C][Branch2][Ring1][S][C][C][Branch1][Branch2][C@@H1][Branch1][C][O][C][Ring1][Branch2][C@][Branch1][C][C][C][=Branch1][#Branch2][=C][C][=Branch1][C][=O][C][C][Ring1][Branch2][C][C][Ring1][#C][C][C][Ring2][Ring1][Branch1],-3.2409999,-3.241
[O][=C][Branch1][Ring1][C][O][C@][Branch1][C][O][C@][Branch1][C][C][C][Branch2][Ring1][S][C][C][Branch1][Branch2][C@@H1][Branch1][C][O][C][Ring1][Branch2][C@][Branch1][C][C][C][=Branch1][#Branch2][=C][C][=Branch1][C][=O][C][C][Ring1][Branch2][C][C][Ring1][#C][C][C][Ring2][Ring1][=Branch1],-3.0539999,-3.054
[O][=C][Branch1][Ring1][C][O][C@][Branch1][C][O][C@][Branch1][C][C][C][Branch2][Ring1][S][C][C][Branch1][Branch2][C@@H1][Branch1][C][O][C][Ring1][Branch2][C@][Branch1][C][C][C][=Branch1][#Branch2][=C][C][=Branch1][C][=O][C][=C][Ring1][Branch2][C][C][Ring1][#C][C][C][Ring2][Ring1][=Branch1],-3.2090001,-3.209
[Cl][C][Branch1][C][Cl][Branch1][C][Cl][C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],-7.809,-7.809
[Cl][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch2][Cl],-1.467,-1.467
[C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Branch1][#C][C][=C][Ring1][#Branch2][C][=C][C][Ring1][N][=C][C][=C][Ring1][=C][C][=C][C][=C][Ring1][=C],-8.1920004,-8.192
[O][=C][N][Branch2][Ring1][#Branch1][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][Ring1][N][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-3.812,-3.812
[N][Branch2][Ring1][O][C][C][C][N][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][Ring1][O][C][=C][C][=C][Ring1][=Branch1][C],-3.658,-3.658
[N][Branch2][Ring1][O][C][C][C][=C][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][Ring1][O][C][=C][C][=C][Ring1][=Branch1][Branch1][C][C][C],-4.4559999,-4.456
[N][Branch2][Ring1][O][C][C][C][N][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][Ring1][O][C][=C][C][=C][Ring1][=Branch1][Branch1][C][C][C],-4.1880002,-4.188
[Cl][C][=C][C][N][Branch1][=Branch2][C][C][C][N][Branch1][C][C][C][C][=C][Branch1][=Branch2][S][C][=Ring1][N][C][=C][Ring1][S][C][=C][C][=C][Ring1][#Branch2],-5.0970001,-5.097
[O][=C][Branch1][P][O][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][Ring1][=Branch2][C],-1.5930001,-1.593
[Cl][C][=C][Branch1][C][Cl][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][C][Cl][=C][Ring1][O],-2.4449999,-2.445
[O][Branch1][Branch2][C][C][O][C][C][C][C][C][C][O][C][C][=C][Branch1][Ring2][C][C][C][C][=C][O][C][O][C][Ring1][Branch1][=C][Ring1][N],-4.3740001,-4.374
[NH1][C][=C][Branch1][Branch1][N][=C][Ring1][Branch1][C][=C][C][=C][Ring1][Branch2],-1.7690001,-1.769
[F][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][C][=Ring1][Branch2],-1.069,-1.069
[O][=N+1][Branch1][C][O-1][C][=C][Branch1][C][O][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][#Branch2],-1.819,-1.819
[O][=C][Branch1][C][O][C][N][C][C][Branch1][C][O][C][Ring1][=Branch1],0.44,0.44
[O][C@@H1][Branch1][Ring2][C][N][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],-3.0079999,-3.008
[O][C][=C][C][=C][Branch1][Ring2][C][C][N][C][=C][Ring1][=Branch2],-1.12,-1.12
[S][Branch1][=Branch1][C][=Branch1][C][=O][C][C@H1][C][C][C@@][Branch1][C][C][Branch1][P][C@@][Branch1][#Branch2][O][C][=Branch1][C][=O][C][C][Ring1][=Branch1][C][C][Ring1][O][C][C][C][Ring1][#C][C@][Branch1][C][C][C][=Branch1][#Branch2][=C][C][=Branch1][C][=O][C][C][Ring1][Branch2][C][Ring2][Ring1][=Branch2],-4.277,-4.277
[O][=C][Branch2][Branch1][#Branch1][O][C][C][=Branch1][C][=O][C@][Branch1][C][O][C@][Branch1][C][C][C][Branch2][Ring1][S][C][C][Branch1][Branch2][C@@H1][Branch1][C][O][C][Ring1][Branch2][C@][Branch1][C][C][C][=Branch1][#Branch2][=C][C][=Branch1][C][=O][C][=C][Ring1][Branch2][C][C][Ring1][#C][C][C][Ring2][Ring1][=Branch1][C],-4.369,-4.369
[S][=P][Branch1][=Branch1][N][C][C][Ring1][Ring1][Branch1][=Branch1][N][C][C][Ring1][Ring1][N][C][C][Ring1][Ring1],0.002,0.002
[O][=C][C][Branch1][Ring2][C][C][=C][Branch1][Ring2][C][C][=C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Ring1][=C],-2.0610001,-2.061
[O][=C][Branch1][C][O][C][Branch1][C][N][C][C][C][C][Ring1][=Branch1],-0.412,-0.412
[S][C][Branch1][#Branch2][C][Branch1][C][N][C][=Branch1][C][=O][O][Branch1][C][C][C],-0.12800001,-0.128
[Cl][C][Branch1][C][Cl][Branch1][C][Cl][C][Branch1][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C][O],-0.331,-0.331
[O][=C][C@][Branch1][C][C][C][Branch2][Ring1][O][C][C][Branch2][Ring1][C][C][=C][Branch1][#Branch2][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C][Ring1][O][C][C][Ring1][S][C][C][Ring2][Ring1][Ring1],-3.9549999,-3.955
[Cl][C][Branch1][C][Cl][C][Branch1][N][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],-6.505000099999998,-6.505
[O][=C][C@][Branch1][C][C][C][Branch2][Ring1][=C][C][C][Branch2][Ring1][Branch1][C@][Branch1][C][C][C][=Branch1][Branch1][=C][C][Ring1][#Branch1][C][C@@H1][Branch1][C][O][C][C][Ring1][#Branch2][C][C][Ring1][P][C][C][Ring2][Ring1][Ring2],-3.6570001,-3.657
[Cl][C][=C][C][=C][Branch2][Ring1][P][C][=Branch1][C][=O][N][C][Branch1][C][C][=C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][=C][Ring1][#Branch2][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][Branch2][C][=C][Ring2][Ring1][Branch2],-5.5819998,-5.582
[O][=N][N][Branch1][Ring1][C][C][C][C],0.016000001,0.016
[O][=C][Branch1][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.95300001,-0.953
